                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.66607,                0.87595,                0.88242,                0.90841,                0.91667,                  0.995,                0.77295,                 0.7555,                0.74091,                0.91146,              0.0005684,              0.0005684,              0.0005684
                    103,                0.66869,                0.90297,                0.88118,                0.90841,                0.91667,                  0.995,                0.77295,                 0.7555,                0.74091,                0.91146,             0.00056821,             0.00056821,             0.00056821
                    104,                0.60501,                0.89119,                0.83999,                0.90515,                0.83333,                  0.995,                0.78292,                0.74422,                0.73327,                0.91291,             0.00056801,             0.00056801,             0.00056801
                    105,                0.66017,                0.90962,                0.86129,                0.90515,                0.83333,                  0.995,                0.78292,                0.74422,                0.73327,                0.91291,             0.00056782,             0.00056782,             0.00056782
                    106,                0.69781,                0.97646,                0.90105,                 0.8753,                0.83333,                  0.995,                0.76932,                0.79601,                0.75486,                0.91625,             0.00056763,             0.00056763,             0.00056763
                    107,                0.68518,                0.94638,                0.86822,                 0.8753,                0.83333,                  0.995,                0.76932,                0.79601,                0.75486,                0.91625,             0.00056743,             0.00056743,             0.00056743
                    108,                0.67331,                0.90398,                 0.8679,                0.85299,                0.83333,                  0.995,                0.75345,                0.80269,                0.74488,                 0.9139,             0.00056724,             0.00056724,             0.00056724
                    109,                0.68101,                0.89825,                0.86105,                0.85299,                0.83333,                  0.995,                0.75345,                0.80269,                0.74488,                 0.9139,             0.00056704,             0.00056704,             0.00056704
                    110,                0.64882,                0.94174,                0.86109,                0.74708,                0.91667,                  0.995,                0.76337,                0.72662,                 0.6961,                 0.9094,             0.00056685,             0.00056685,             0.00056685
                    111,                0.71494,                0.94313,                0.87793,                0.74708,                0.91667,                  0.995,                0.76337,                0.72662,                 0.6961,                 0.9094,             0.00056666,             0.00056666,             0.00056666
                    112,                0.67553,                0.86259,                0.85134,                0.77407,                0.91667,                  0.995,                0.76698,                0.72096,                0.67874,                 0.9137,             0.00056646,             0.00056646,             0.00056646
                    113,                0.70507,                 0.8327,                0.85473,                0.77407,                0.91667,                  0.995,                0.76698,                0.72096,                0.67874,                 0.9137,             0.00056627,             0.00056627,             0.00056627
                    114,                0.66379,                0.88395,                0.87999,                0.76792,                0.91667,                  0.995,                0.78054,                0.71791,                0.68012,                0.91614,             0.00056607,             0.00056607,             0.00056607
                    115,                0.64241,                0.90138,                0.87559,                0.76792,                0.91667,                  0.995,                0.78054,                0.71791,                0.68012,                0.91614,             0.00056588,             0.00056588,             0.00056588
                    116,                0.62013,                0.91205,                0.87433,                0.76487,                0.91667,                  0.995,                0.77424,                0.73614,                0.68795,                0.91162,             0.00056569,             0.00056569,             0.00056569
                    117,                0.60177,                0.81193,                0.84484,                0.76487,                0.91667,                  0.995,                0.77424,                0.73614,                0.68795,                0.91162,             0.00056549,             0.00056549,             0.00056549
                    118,                0.62587,                0.86112,                 0.8515,                0.75513,                0.91667,                  0.995,                0.76628,                0.75411,                0.70658,                0.91629,              0.0005653,              0.0005653,              0.0005653
                    119,                0.61045,                0.82446,                0.83278,                0.75513,                0.91667,                  0.995,                0.76628,                0.75411,                0.70658,                0.91629,              0.0005651,              0.0005651,              0.0005651
                    120,                0.68194,                0.87338,                 0.8686,                0.74446,                0.91667,                  0.995,                0.79178,                0.72912,                0.68156,                 0.9166,             0.00056491,             0.00056491,             0.00056491
                    121,                0.65109,                0.82379,                0.86882,                0.74446,                0.91667,                  0.995,                0.79178,                0.72912,                0.68156,                 0.9166,             0.00056472,             0.00056472,             0.00056472
                    122,                0.66702,                0.81819,                0.85864,                 0.6907,                      1,                  0.995,                0.81419,                0.70689,                0.67501,                0.90612,             0.00056452,             0.00056452,             0.00056452
                    123,                0.62811,                0.80002,                0.85066,                 0.6907,                      1,                  0.995,                0.81419,                0.70689,                0.67501,                0.90612,             0.00056433,             0.00056433,             0.00056433
                    124,                0.65094,                0.85185,                0.84391,                0.70153,                      1,                  0.995,                0.81787,                0.69915,                0.66273,                0.90088,             0.00056413,             0.00056413,             0.00056413
                    125,                0.66024,                0.82766,                  0.853,                0.70153,                      1,                  0.995,                0.81787,                0.69915,                0.66273,                0.90088,             0.00056394,             0.00056394,             0.00056394
                    126,                0.68295,                0.86251,                0.87508,                0.74445,                      1,                  0.995,                0.79528,                0.70477,                0.64804,                0.90546,             0.00056374,             0.00056374,             0.00056374
                    127,                 0.6213,                  0.861,                0.82988,                0.74445,                      1,                  0.995,                0.79528,                0.70477,                0.64804,                0.90546,             0.00056355,             0.00056355,             0.00056355
                    128,                0.61201,                0.87697,                0.84759,                0.70528,                      1,                  0.995,                 0.7591,                0.78213,                0.65243,                0.91853,             0.00056336,             0.00056336,             0.00056336
                    129,                0.62613,                0.82064,                0.82805,                0.70528,                      1,                  0.995,                 0.7591,                0.78213,                0.65243,                0.91853,             0.00056316,             0.00056316,             0.00056316
                    130,                0.64616,                0.80335,                0.86507,                0.84156,                0.91667,                  0.995,                 0.7662,                0.80841,                0.65626,                0.91682,             0.00056297,             0.00056297,             0.00056297
                    131,                0.64621,                0.83809,                0.82975,                0.84156,                0.91667,                  0.995,                 0.7662,                0.80841,                0.65626,                0.91682,             0.00056277,             0.00056277,             0.00056277
                    132,                0.61418,                0.81409,                0.86557,                0.85142,                0.91667,                  0.995,                0.74962,                 0.8095,                0.65635,                0.91614,             0.00056258,             0.00056258,             0.00056258
                    133,                0.69005,                  0.836,                0.85363,                0.85142,                0.91667,                  0.995,                0.74962,                 0.8095,                0.65635,                0.91614,             0.00056239,             0.00056239,             0.00056239
